,Var1,Var2,value
6081,TCDCA,MacroNutrientsCalculation.TotalAlcoholIntakeG,0.13
587,TDHCA,Acetic.Acid,0.13
7787,TDHCA,FoodGroupIntakeScore.DietSoftDrinks,0.13
677,TDHCA,FoodGroupIntakeScore.LowFatDairyProducts,0.13
1027,THCA,GHCA,0.13
2737,THCA,TLCA,0.13
3456,THDCA,HDCA,0.13
3271,TLCA,THCA,0.13
7481,TUDCA,FoodGroupIntakeScore.TotalSoftDrinks,0.13
3971,TUDCA,pseudocatenulatum,0.13
4342,UDCA,FoodGroupIntakeScore.Olives,0.13
7672,UDCA,FoodGroupIntakeScore.Sauces,0.13
4612,UDCA,Isobutyric.Acid,0.13
2638,UDCA.3OH.S,FoodGroupIntakeScore.Nuts,0.13
3648,Valeric.Acid,GUDCA,0.13
5435,Valine,Isoleucine,0.13
7325,Valine,MCA,0.13
7027,Acetic.Acid,FoodGroupIntakeScore.Fruits,0.12
5857,Acetic.Acid,Methylbutyric.Acid,0.12
5264,adolescentis,FoodGroupIntakeScore.Legumes,0.12
5984,adolescentis,FoodGroupIntakeScore.Sweeteners,0.12
2006,aMCA,LCA,0.12
5957,animalis.animalis,FoodGroupIntakeScore.Sweeteners,0.12
1727,animalis.animalis,TCA,0.12
2179,bifidum,FoodGroupIntakeScore.NonRefinedCereals,0.12
6769,bifidum,FoodGroupIntakeScore.RedMeatAndProducts,0.12
7933,breve,CDCA,0.12
3154,CA,THDCA,0.12
2704,CA,TLCA,0.12
7243,CA.3OH.S,FoodGroupIntakeScore.Fish,0.12
1169,CDCA,breve,0.12
2699,CDCA,FoodGroupIntakeScore.Nuts,0.12
2609,CDCA,Leucine,0.12
4329,CDCA.3OH.S,FoodGroupIntakeScore.Olives,0.12
4869,CDCA.3OH.S,longum.longum,0.12
7656,DCA,FoodGroupIntakeScore.Sauces,0.12
6576,DCA,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.12
5530,DCA.3OH.S,MacroNutrientsCalculation.TotalProteinIntakeG,0.12
3190,DCA.3OH.S,THDCA,0.12
7831,DHCA,TDCA,0.12
1060,FoodGroupIntakeScore...liveOil,GHCA,0.12
1975,FoodGroupIntakeScore.Alcohol,UDCA,0.12
2777,FoodGroupIntakeScore.ColdCuts,TLCA,0.12
3861,FoodGroupIntakeScore.Fish,CA.3OH.S,0.12
6381,FoodGroupIntakeScore.Fish,FoodGroupIntakeScore.VegetableOils,0.12
6995,FoodGroupIntakeScore.FruitJuices,FoodGroupIntakeScore.Vegetables,0.12
619,FoodGroupIntakeScore.Fruits,Acetic.Acid,0.12
5569,FoodGroupIntakeScore.Fruits,MacroNutrientsCalculation.TotalProteinIntakeG,0.12
3026,FoodGroupIntakeScore.FullFatDairyProducts,HCA,0.12
3929,FoodGroupIntakeScore.Legumes,adolescentis,0.12
2669,FoodGroupIntakeScore.Legumes,FoodGroupIntakeScore.Nuts,0.12
6578,FoodGroupIntakeScore.LowFatDairyProducts,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.12
1645,FoodGroupIntakeScore.NonRefinedCereals,bifidum,0.12
7950,FoodGroupIntakeScore.Nuts,CDCA,0.12
5250,FoodGroupIntakeScore.Nuts,FoodGroupIntakeScore.Legumes,0.12
769,FoodGroupIntakeScore.Olives,CDCA.3OH.S,0.12
7429,FoodGroupIntakeScore.Olives,FoodGroupIntakeScore.RegularSoftDrinks,0.12
3379,FoodGroupIntakeScore.Olives,LCA.S,0.12
1318,FoodGroupIntakeScore.Potatoes,Isovaleric.Acid,0.12
3748,FoodGroupIntakeScore.Potatoes,longum.suillum,0.12
6360,FoodGroupIntakeScore.Poultry,FoodGroupIntakeScore.VegetableOils,0.12
1696,FoodGroupIntakeScore.RedMeatAndProducts,bifidum,0.12
2862,FoodGroupIntakeScore.RefinedCereals,GCDCA,0.12
4403,FoodGroupIntakeScore.RegularSoftDrinks,FoodGroupIntakeScore.Olives,0.12
2063,FoodGroupIntakeScore.RegularSoftDrinks,LCA,0.12
3394,FoodGroupIntakeScore.SaltySnacks,LCA.S,0.12
536,FoodGroupIntakeScore.Sauces,DCA,0.12
3937,FoodGroupIntakeScore.Sweeteners,adolescentis,0.12
1507,FoodGroupIntakeScore.Sweeteners,animalis.animalis,0.12
4224,FoodGroupIntakeScore.TotalSoftDrinks,TDHCA,0.12
7271,FoodGroupIntakeScore.VegetableOils,FoodGroupIntakeScore.Fish,0.12
5381,FoodGroupIntakeScore.VegetableOils,FoodGroupIntakeScore.Poultry,0.12
5838,FoodGroupIntakeScore.Vegetables,FoodGroupIntakeScore.FruitJuices,0.12
4690,GCA,PercentualTotalEnergyIntake.Carbohydrate,0.12
6422,GCDCA,FoodGroupIntakeScore.RefinedCereals,0.12
8042,GCDCA,GHDCA,0.12
7862,GCDCA,TDCA,0.12
3171,GDHCA,THDCA,0.12
6222,GHCA,FoodGroupIntakeScore...liveOil,0.12
5502,GHCA,MacroNutrientsCalculation.TotalProteinIntakeG,0.12
2880,GHDCA,GCDCA,0.12
1931,GUDCA,UDCA,0.12
4984,HCA,FoodGroupIntakeScore.FullFatDairyProducts,0.12
3454,HCA,HDCA,0.12
3724,HCA,longum.suillum,0.12
3009,HDCA,HCA,0.12
4449,HDCA,TaMCA,0.12
2739,HDCA,TLCA,0.12
4263,Heptanoic.Acid,Valeric.Acid,0.12
5145,Isovaleric.Acid,FoodGroupIntakeScore.Potatoes,0.12
1725,Isovaleric.Acid,TCA,0.12
2273,LCA,aMCA,0.12
7403,LCA,FoodGroupIntakeScore.RegularSoftDrinks,0.12
4523,LCA,TCDCA,0.12
4358,LCA.S,FoodGroupIntakeScore.Olives,0.12
5708,LCA.S,FoodGroupIntakeScore.SaltySnacks,0.12
7949,Leucine,CDCA,0.12
5519,Leucine,MacroNutrientsCalculation.TotalProteinIntakeG,0.12
775,longum.longum,CDCA.3OH.S,0.12
5172,longum.suillum,FoodGroupIntakeScore.Potatoes,0.12
3012,longum.suillum,HCA,0.12
524,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,DCA,0.12
704,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,FoodGroupIntakeScore.LowFatDairyProducts,0.12
3572,MacroNutrientsCalculation.TotalProteinIntakeG,DCA.3OH.S,0.12
7082,MacroNutrientsCalculation.TotalProteinIntakeG,FoodGroupIntakeScore.Fruits,0.12
1052,MacroNutrientsCalculation.TotalProteinIntakeG,GHCA,0.12
2582,MacroNutrientsCalculation.TotalProteinIntakeG,Leucine,0.12
606,Methylbutyric.Acid,Acetic.Acid,0.12
4206,Methylbutyric.Acid,TDHCA,0.12
863,PercentualTotalEnergyIntake.Carbohydrate,GCA,0.12
4014,PercentualTotalEnergyIntake.Fat,pseudocatenulatum,0.12
4464,PercentualTotalEnergyIntake.Fat,TaMCA,0.12
4554,PercentualTotalEnergyIntake.Fat,TCDCA,0.12
2702,Propionic.Acid,TLCA,0.12
4815,pseudocatenulatum,PercentualTotalEnergyIntake.Fat,0.12
3470,TaMCA,HDCA,0.12
4820,TaMCA,PercentualTotalEnergyIntake.Fat,0.12
1460,TCA,animalis.animalis,0.12
1280,TCA,Isovaleric.Acid,0.12
2031,TCDCA,LCA,0.12
4821,TCDCA,PercentualTotalEnergyIntake.Fat,0.12
88,TDCA,DHCA,0.12
2878,TDCA,GCDCA,0.12
7517,TDHCA,FoodGroupIntakeScore.TotalSoftDrinks,0.12
5897,TDHCA,Methylbutyric.Acid,0.12
306,THDCA,CA,0.12
3546,THDCA,DCA.3OH.S,0.12
1836,THDCA,GDHCA,0.12
301,TLCA,CA,0.12
6871,TLCA,FoodGroupIntakeScore.ColdCuts,0.12
3451,TLCA,HDCA,0.12
121,TLCA,Propionic.Acid,0.12
7582,UDCA,FoodGroupIntakeScore.Alcohol,0.12
3622,UDCA,GUDCA,0.12
2928,Valeric.Acid,Heptanoic.Acid,0.12
6937,Acetic.Acid,FoodGroupIntakeScore.Vegetables,0.11
6037,Acetic.Acid,MacroNutrientsCalculation.TotalAlcoholIntakeG,0.11
674,adolescentis,FoodGroupIntakeScore.LowFatDairyProducts,0.11
296,aMCA,CA,0.11
7496,aMCA,FoodGroupIntakeScore.TotalSoftDrinks,0.11
6146,aMCA,PercentualTotalEnergyIntake.Alcohol,0.11
3439,bifidum,HDCA,0.11
7743,bMCA,FoodGroupIntakeScore.DietSoftDrinks,0.11
7383,bMCA,FoodGroupIntakeScore.RegularSoftDrinks,0.11
1263,bMCA,Isovaleric.Acid,0.11
823,breve,GCA,0.11
2893,breve,Heptanoic.Acid,0.11
7123,breve,Kidmed,0.11
2217,Butyric.Acid,FoodGroupIntakeScore.NonRefinedCereals,0.11
5907,Butyric.Acid,Methylbutyric.Acid,0.11
2254,CA,aMCA,0.11
2074,CA,longum.infantis,0.11
6574,CA,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.11
853,CA.3OH.S,GCA,0.11
3643,CA.3OH.S,GUDCA,0.11
4273,CA.3OH.S,Valeric.Acid,0.11
7019,CDCA,FoodGroupIntakeScore.Vegetables,0.11
3149,CDCA,Valine,0.11
1359,CDCA.3OH.S,FoodGroupIntakeScore.Eggs,0.11
2619,CDCA.3OH.S,FoodGroupIntakeScore.Nuts,0.11
5949,CDCA.3OH.S,FoodGroupIntakeScore.Sweeteners,0.11
1809,CDCA.3OH.S,GDHCA,0.11
7746,DCA,FoodGroupIntakeScore.DietSoftDrinks,0.11
996,DCA,GHCA,0.11
2526,DCA,Leucine,0.11
4900,DCA.3OH.S,longum.longum,0.11
7021,DHCA,FoodGroupIntakeScore.Fruits,0.11
2341,DHCA,GCA.3OH.S,0.11
3691,DHCA,longum.suillum,0.11
7270,FoodGroupIntakeScore...liveOil,FoodGroupIntakeScore.Fish,0.11
4210,FoodGroupIntakeScore...liveOil,TDHCA,0.11
2057,FoodGroupIntakeScore.ColdCuts,LCA,0.11
1787,FoodGroupIntakeScore.ColdCuts,TCA,0.11
2507,FoodGroupIntakeScore.ColdCuts,UDCA.3OH.S,0.11
3137,FoodGroupIntakeScore.ColdCuts,Valine,0.11
267,FoodGroupIntakeScore.DietSoftDrinks,bMCA,0.11
537,FoodGroupIntakeScore.DietSoftDrinks,DCA,0.11
5847,FoodGroupIntakeScore.DietSoftDrinks,FoodGroupIntakeScore.FruitJuices,0.11
5667,FoodGroupIntakeScore.DietSoftDrinks,PercentualTotalEnergyIntake.Protein,0.11
736,FoodGroupIntakeScore.Eggs,CDCA.3OH.S,0.11
2086,FoodGroupIntakeScore.Eggs,longum.infantis,0.11
6291,FoodGroupIntakeScore.Fish,FoodGroupIntakeScore...liveOil,0.11
7805,FoodGroupIntakeScore.FruitJuices,FoodGroupIntakeScore.DietSoftDrinks,0.11
5195,FoodGroupIntakeScore.FruitJuices,FoodGroupIntakeScore.Potatoes,0.11
79,FoodGroupIntakeScore.Fruits,DHCA,0.11
3229,FoodGroupIntakeScore.Fruits,THDCA,0.11
6986,FoodGroupIntakeScore.FullFatDairyProducts,FoodGroupIntakeScore.Vegetables,0.11
2846,FoodGroupIntakeScore.FullFatDairyProducts,GCDCA,0.11
3878,FoodGroupIntakeScore.LowFatDairyProducts,adolescentis,0.11
5065,FoodGroupIntakeScore.NonRefinedCereals,Butyric.Acid,0.11
2545,FoodGroupIntakeScore.NonRefinedCereals,Leucine,0.11
750,FoodGroupIntakeScore.Nuts,CDCA.3OH.S,0.11
4350,FoodGroupIntakeScore.Nuts,FoodGroupIntakeScore.Olives,0.11
2820,FoodGroupIntakeScore.Nuts,GCDCA,0.11
2659,FoodGroupIntakeScore.Olives,FoodGroupIntakeScore.Nuts,0.11
6979,FoodGroupIntakeScore.Olives,FoodGroupIntakeScore.Vegetables,0.11
5899,FoodGroupIntakeScore.Olives,Methylbutyric.Acid,0.11
5818,FoodGroupIntakeScore.Potatoes,FoodGroupIntakeScore.FruitJuices,0.11
5458,FoodGroupIntakeScore.Potatoes,Isoleucine,0.11
3496,FoodGroupIntakeScore.RedMeatAndProducts,HDCA,0.11
263,FoodGroupIntakeScore.RegularSoftDrinks,bMCA,0.11
2423,FoodGroupIntakeScore.RegularSoftDrinks,GCA.3OH.S,0.11
6544,FoodGroupIntakeScore.SaltySnacks,FoodGroupIntakeScore.Sweets,0.11
787,FoodGroupIntakeScore.Sweeteners,CDCA.3OH.S,0.11
4747,FoodGroupIntakeScore.Sweeteners,PercentualTotalEnergyIntake.Carbohydrate,0.11
5743,FoodGroupIntakeScore.Sweets,FoodGroupIntakeScore.SaltySnacks,0.11
2334,FoodGroupIntakeScore.TotalSoftDrinks,aMCA,0.11
174,FoodGroupIntakeScore.TotalSoftDrinks,Propionic.Acid,0.11
3041,FoodGroupIntakeScore.VegetableOils,HCA,0.11
618,FoodGroupIntakeScore.Vegetables,Acetic.Acid,0.11
7998,FoodGroupIntakeScore.Vegetables,CDCA,0.11
5028,FoodGroupIntakeScore.Vegetables,FoodGroupIntakeScore.FullFatDairyProducts,0.11
4398,FoodGroupIntakeScore.Vegetables,FoodGroupIntakeScore.Olives,0.11
5568,FoodGroupIntakeScore.Vegetables,MacroNutrientsCalculation.TotalProteinIntakeG,0.11
7908,FoodGroupIntakeScore.Vegetables,TDCA,0.11
1090,GCA,breve,0.11
3790,GCA,CA.3OH.S,0.11
27,GCA.3OH.S,DHCA,0.11
7407,GCA.3OH.S,FoodGroupIntakeScore.RegularSoftDrinks,0.11
4982,GCDCA,FoodGroupIntakeScore.FullFatDairyProducts,0.11
2642,GCDCA,FoodGroupIntakeScore.Nuts,0.11
3632,GCDCA,GUDCA,0.11
2462,GCDCA,UDCA.3OH.S,0.11
1728,GDCA,TCA,0.11
741,GDHCA,CDCA.3OH.S,0.11
2991,GDHCA,HCA,0.11
5871,GDHCA,Methylbutyric.Acid,0.11
4161,GDHCA,TDHCA,0.11
462,GHCA,DCA,0.11
4950,GHDCA,longum.longum,0.11
1904,GLCA,UDCA,0.11
3821,GUDCA,CA.3OH.S,0.11
2831,GUDCA,GCDCA,0.11
6334,HCA,FoodGroupIntakeScore.VegetableOils,0.11
1834,HCA,GDHCA,0.11
1659,HDCA,bifidum,0.11
6789,HDCA,FoodGroupIntakeScore.RedMeatAndProducts,0.11
1113,Heptanoic.Acid,breve,0.11
5433,Heptanoic.Acid,Isoleucine,0.11
6153,Heptanoic.Acid,PercentualTotalEnergyIntake.Alcohol,0.11
4192,Isobutyric.Acid,TDHCA,0.11
4282,Isobutyric.Acid,Valeric.Acid,0.11
5191,Isoleucine,FoodGroupIntakeScore.Potatoes,0.11
2941,Isoleucine,Heptanoic.Acid,0.11
195,Isovaleric.Acid,bMCA,0.11
3705,Isovaleric.Acid,longum.suillum,0.11
1160,Kidmed,breve,0.11
6650,Kidmed,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.11
7370,Kidmed,MCA,0.11
6863,LCA,FoodGroupIntakeScore.ColdCuts,0.11
479,Leucine,DCA,0.11
2189,Leucine,FoodGroupIntakeScore.NonRefinedCereals,0.11
3269,Leucine,THCA,0.11
294,longum.infantis,CA,0.11
1374,longum.infantis,FoodGroupIntakeScore.Eggs,0.11
3714,longum.infantis,longum.suillum,0.11
3565,longum.longum,DCA.3OH.S,0.11
8065,longum.longum,GHDCA,0.11
42,longum.suillum,DHCA,0.11
1302,longum.suillum,Isovaleric.Acid,0.11
2112,longum.suillum,longum.infantis,0.11
608,MacroNutrientsCalculation.TotalAlcoholIntakeG,Acetic.Acid,0.11
344,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,CA,0.11
7184,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,Kidmed,0.11
6195,MacroNutrientsCalculation.TotalFatIntakeG,PercentualTotalEnergyIntake.Alcohol,0.11
6992,MacroNutrientsCalculation.TotalProteinIntakeG,FoodGroupIntakeScore.Vegetables,0.11
7892,MacroNutrientsCalculation.TotalProteinIntakeG,TDCA,0.11
7192,MCA,Kidmed,0.11
5106,Methylbutyric.Acid,Butyric.Acid,0.11
4386,Methylbutyric.Acid,FoodGroupIntakeScore.Olives,0.11
1866,Methylbutyric.Acid,GDHCA,0.11
2319,PercentualTotalEnergyIntake.Alcohol,aMCA,0.11
2949,PercentualTotalEnergyIntake.Alcohol,Heptanoic.Acid,0.11
6729,PercentualTotalEnergyIntake.Alcohol,MacroNutrientsCalculation.TotalFatIntakeG,0.11
4299,PercentualTotalEnergyIntake.Alcohol,Valeric.Acid,0.11
5993,PercentualTotalEnergyIntake.Carbohydrate,FoodGroupIntakeScore.Sweeteners,0.11
4194,PercentualTotalEnergyIntake.Fat,TDHCA,0.11
7803,PercentualTotalEnergyIntake.Protein,FoodGroupIntakeScore.DietSoftDrinks,0.11
1773,PercentualTotalEnergyIntake.Protein,TCA,0.11
963,PercentualTotalEnergyIntake.Protein,TUDCA,0.11
7472,Propionic.Acid,FoodGroupIntakeScore.TotalSoftDrinks,0.11
6860,TCA,FoodGroupIntakeScore.ColdCuts,0.11
1550,TCA,GDCA,0.11
5600,TCA,PercentualTotalEnergyIntake.Protein,0.11
4520,TCA,TCDCA,0.11
1761,TCDCA,TCA,0.11
7018,TDCA,FoodGroupIntakeScore.Vegetables,0.11
5578,TDCA,MacroNutrientsCalculation.TotalProteinIntakeG,0.11
6257,TDHCA,FoodGroupIntakeScore...liveOil,0.11
1847,TDHCA,GDHCA,0.11
4637,TDHCA,Isobutyric.Acid,0.11
4817,TDHCA,PercentualTotalEnergyIntake.Fat,0.11
2557,THCA,Leucine,0.11
7056,THDCA,FoodGroupIntakeScore.Fruits,0.11
936,THDCA,TUDCA,0.11
5591,TUDCA,PercentualTotalEnergyIntake.Protein,0.11
3161,TUDCA,THDCA,0.11
1192,UDCA,GLCA,0.11
4252,UDCA,Valeric.Acid,0.11
6868,UDCA.3OH.S,FoodGroupIntakeScore.ColdCuts,0.11
2818,UDCA.3OH.S,GCDCA,0.11
3828,Valeric.Acid,CA.3OH.S,0.11
4638,Valeric.Acid,Isobutyric.Acid,0.11
6168,Valeric.Acid,PercentualTotalEnergyIntake.Alcohol,0.11
1938,Valeric.Acid,UDCA,0.11
7955,Valine,CDCA,0.11
6875,Valine,FoodGroupIntakeScore.ColdCuts,0.11
6217,Acetic.Acid,FoodGroupIntakeScore...liveOil,0.1
637,Acetic.Acid,FoodGroupIntakeScore.LowFatDairyProducts,0.1
2527,Acetic.Acid,Leucine,0.1
2077,Acetic.Acid,longum.infantis,0.1
4867,Acetic.Acid,longum.longum,0.1
7964,adolescentis,CDCA,0.1
3347,animalis.animalis,LCA.S,0.1
6319,bifidum,FoodGroupIntakeScore.VegetableOils,0.1
2089,bifidum,longum.infantis,0.1
6213,bMCA,FoodGroupIntakeScore...liveOil,0.1
3603,bMCA,GUDCA,0.1
3693,bMCA,longum.suillum,0.1
3793,breve,CA.3OH.S,0.1
6943,breve,FoodGroupIntakeScore.Vegetables,0.1
1543,breve,GDCA,0.1
1813,breve,GDHCA,0.1
3163,breve,THDCA,0.1
4917,Butyric.Acid,longum.longum,0.1
3117,Butyric.Acid,Valine,0.1
2344,CA,GCA.3OH.S,0.1
3334,CA,LCA.S,0.1
1123,CA.3OH.S,breve,0.1
6346,Caproic.acid,FoodGroupIntakeScore.VegetableOils,0.1
6166,Caproic.acid,PercentualTotalEnergyIntake.Alcohol,0.1
3959,CDCA,adolescentis,0.1
6479,CDCA,FoodGroupIntakeScore.RefinedCereals,0.1
7469,CDCA,FoodGroupIntakeScore.RegularSoftDrinks,0.1
6209,CDCA,PercentualTotalEnergyIntake.Alcohol,0.1
7209,CDCA.3OH.S,FoodGroupIntakeScore.Fish,0.1
6489,CDCA.3OH.S,FoodGroupIntakeScore.Sweets,0.1
2439,CDCA.3OH.S,UDCA.3OH.S,0.1
7026,DCA,FoodGroupIntakeScore.Fruits,0.1
1986,DCA,LCA,0.1
7600,DCA.3OH.S,FoodGroupIntakeScore.Alcohol,0.1
7690,DCA.3OH.S,FoodGroupIntakeScore.Sauces,0.1
5311,DHCA,FoodGroupIntakeScore.Poultry,0.1
3241,DHCA,THCA,0.1
610,FoodGroupIntakeScore...liveOil,Acetic.Acid,0.1
250,FoodGroupIntakeScore...liveOil,bMCA,0.1
5380,FoodGroupIntakeScore...liveOil,FoodGroupIntakeScore.Poultry,0.1
3595,FoodGroupIntakeScore.Alcohol,DCA.3OH.S,0.1
445,FoodGroupIntakeScore.Alcohol,FoodGroupIntakeScore.CoffeTea,0.1
2875,FoodGroupIntakeScore.Alcohol,GCDCA,0.1
5575,FoodGroupIntakeScore.Alcohol,MacroNutrientsCalculation.TotalProteinIntakeG,0.1
7565,FoodGroupIntakeScore.CoffeTea,FoodGroupIntakeScore.Alcohol,0.1
5315,FoodGroupIntakeScore.CoffeTea,FoodGroupIntakeScore.Poultry,0.1
7655,FoodGroupIntakeScore.CoffeTea,FoodGroupIntakeScore.Sauces,0.1
7115,FoodGroupIntakeScore.CoffeTea,Kidmed,0.1
5297,FoodGroupIntakeScore.ColdCuts,FoodGroupIntakeScore.Legumes,0.1
2247,FoodGroupIntakeScore.DietSoftDrinks,FoodGroupIntakeScore.NonRefinedCereals,0.1
4587,FoodGroupIntakeScore.DietSoftDrinks,TCDCA,0.1
801,FoodGroupIntakeScore.Fish,CDCA.3OH.S,0.1
5571,FoodGroupIntakeScore.Fish,MacroNutrientsCalculation.TotalProteinIntakeG,0.1
171,FoodGroupIntakeScore.Fish,Propionic.Acid,0.1
6455,FoodGroupIntakeScore.FruitJuices,FoodGroupIntakeScore.RefinedCereals,0.1
3485,FoodGroupIntakeScore.FruitJuices,HDCA,0.1
529,FoodGroupIntakeScore.Fruits,DCA,0.1
6899,FoodGroupIntakeScore.Legumes,FoodGroupIntakeScore.ColdCuts,0.1
548,FoodGroupIntakeScore.LowFatDairyProducts,Acetic.Acid,0.1
7765,FoodGroupIntakeScore.NonRefinedCereals,FoodGroupIntakeScore.DietSoftDrinks,0.1
3000,FoodGroupIntakeScore.Nuts,HCA,0.1
5989,FoodGroupIntakeScore.Olives,FoodGroupIntakeScore.Sweeteners,0.1
2389,FoodGroupIntakeScore.Olives,GCA.3OH.S,0.1
3478,FoodGroupIntakeScore.Potatoes,HDCA,0.1
148,FoodGroupIntakeScore.Potatoes,Propionic.Acid,0.1
60,FoodGroupIntakeScore.Poultry,DHCA,0.1
6270,FoodGroupIntakeScore.Poultry,FoodGroupIntakeScore...liveOil,0.1
420,FoodGroupIntakeScore.Poultry,FoodGroupIntakeScore.CoffeTea,0.1
7992,FoodGroupIntakeScore.RefinedCereals,CDCA,0.1
5832,FoodGroupIntakeScore.RefinedCereals,FoodGroupIntakeScore.FruitJuices,0.1
8003,FoodGroupIntakeScore.RegularSoftDrinks,CDCA,0.1
3596,FoodGroupIntakeScore.Sauces,DCA.3OH.S,0.1
446,FoodGroupIntakeScore.Sauces,FoodGroupIntakeScore.CoffeTea,0.1
2876,FoodGroupIntakeScore.Sauces,GCDCA,0.1
5576,FoodGroupIntakeScore.Sauces,MacroNutrientsCalculation.TotalProteinIntakeG,0.1
4387,FoodGroupIntakeScore.Sweeteners,FoodGroupIntakeScore.Olives,0.1
877,FoodGroupIntakeScore.Sweeteners,GCA,0.1
793,FoodGroupIntakeScore.Sweets,CDCA.3OH.S,0.1
2503,FoodGroupIntakeScore.Sweets,UDCA.3OH.S,0.1
1691,FoodGroupIntakeScore.VegetableOils,bifidum,0.1
4121,FoodGroupIntakeScore.VegetableOils,Caproic.acid,0.1
2771,FoodGroupIntakeScore.VegetableOils,TLCA,0.1
1158,FoodGroupIntakeScore.Vegetables,breve,0.1
4758,FoodGroupIntakeScore.Vegetables,PercentualTotalEnergyIntake.Carbohydrate,0.1
5950,GCA,FoodGroupIntakeScore.Sweeteners,0.1
297,GCA.3OH.S,CA,0.1
4347,GCA.3OH.S,FoodGroupIntakeScore.Olives,0.1
2817,GCA.3OH.S,GCDCA,0.1
7592,GCDCA,FoodGroupIntakeScore.Alcohol,0.1
7682,GCDCA,FoodGroupIntakeScore.Sauces,0.1
2372,GCDCA,GCA.3OH.S,0.1
1098,GDCA,breve,0.1
3438,GDCA,HDCA,0.1
918,GDCA,TUDCA,0.1
1101,GDHCA,breve,0.1
1182,GHCA,GLCA,0.1
7842,GHCA,TDCA,0.1
912,GHCA,TUDCA,0.1
1350,GHDCA,Isovaleric.Acid,0.1
6210,GHDCA,PercentualTotalEnergyIntake.Alcohol,0.1
5670,GHDCA,PercentualTotalEnergyIntake.Protein,0.1
1004,GLCA,GHCA,0.1
4784,GLCA,PercentualTotalEnergyIntake.Fat,0.1
221,GUDCA,bMCA,0.1
2644,HCA,FoodGroupIntakeScore.Nuts,0.1
5799,HDCA,FoodGroupIntakeScore.FruitJuices,0.1
5169,HDCA,FoodGroupIntakeScore.Potatoes,0.1
1569,HDCA,GDCA,0.1
3279,HDCA,THCA,0.1
6063,Heptanoic.Acid,MacroNutrientsCalculation.TotalAlcoholIntakeG,0.1
8025,Isovaleric.Acid,GHDCA,0.1
440,Kidmed,FoodGroupIntakeScore.CoffeTea,0.1
473,LCA,DCA,0.1
5873,LCA,Methylbutyric.Acid,0.1
4433,LCA,TaMCA,0.1
1478,LCA.S,animalis.animalis,0.1
308,LCA.S,CA,0.1
2108,LCA.S,longum.infantis,0.1
3728,LCA.S,longum.suillum,0.1
569,Leucine,Acetic.Acid,0.1
6689,Leucine,MacroNutrientsCalculation.TotalFatIntakeG,0.1
564,longum.infantis,Acetic.Acid,0.1
1644,longum.infantis,bifidum,0.1
3354,longum.infantis,LCA.S,0.1
595,longum.longum,Acetic.Acid,0.1
5095,longum.longum,Butyric.Acid,0.1
222,longum.suillum,bMCA,0.1
3372,longum.suillum,LCA.S,0.1
2948,MacroNutrientsCalculation.TotalAlcoholIntakeG,Heptanoic.Acid,0.1
4298,MacroNutrientsCalculation.TotalAlcoholIntakeG,Valeric.Acid,0.1
6194,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,PercentualTotalEnergyIntake.Alcohol,0.1
2595,MacroNutrientsCalculation.TotalFatIntakeG,Leucine,0.1
7622,MacroNutrientsCalculation.TotalProteinIntakeG,FoodGroupIntakeScore.Alcohol,0.1
7262,MacroNutrientsCalculation.TotalProteinIntakeG,FoodGroupIntakeScore.Fish,0.1
7712,MacroNutrientsCalculation.TotalProteinIntakeG,FoodGroupIntakeScore.Sauces,0.1
2512,MCA,UDCA.3OH.S,0.1
2046,Methylbutyric.Acid,LCA,0.1
4119,PercentualTotalEnergyIntake.Alcohol,Caproic.acid,0.1
7989,PercentualTotalEnergyIntake.Alcohol,CDCA,0.1
8079,PercentualTotalEnergyIntake.Alcohol,GHDCA,0.1
6639,PercentualTotalEnergyIntake.Alcohol,MacroNutrientsCalculation.TotalCarbohydrateIntakeG,0.1
6983,PercentualTotalEnergyIntake.Carbohydrate,FoodGroupIntakeScore.Vegetables,0.1
1224,PercentualTotalEnergyIntake.Fat,GLCA,0.1
8073,PercentualTotalEnergyIntake.Protein,GHDCA,0.1
7202,Propionic.Acid,FoodGroupIntakeScore.Fish,0.1
5132,Propionic.Acid,FoodGroupIntakeScore.Potatoes,0.1
2030,TaMCA,LCA,0.1
4190,TaMCA,TDHCA,0.1
7791,TCDCA,FoodGroupIntakeScore.DietSoftDrinks,0.1
1078,TDCA,GHCA,0.1
4457,TDHCA,TaMCA,0.1
37,THCA,DHCA,0.1
3457,THCA,HDCA,0.1
1116,THDCA,breve,0.1
6331,TLCA,FoodGroupIntakeScore.VegetableOils,0.1
2461,TLCA,UDCA.3OH.S,0.1
3091,TLCA,Valine,0.1
1541,TUDCA,GDCA,0.1
1001,TUDCA,GHCA,0.1
748,UDCA.3OH.S,CDCA.3OH.S,0.1
6508,UDCA.3OH.S,FoodGroupIntakeScore.Sweets,0.1
7318,UDCA.3OH.S,MCA,0.1
